#NAME;I;II;III;IV
Klebsiella pneumoniae;15;19;20;20
Cronobacter malonaticus;15;19;20;20
Frankia symbiont;15;19;20;20
Weissella confusa;15;18;19;19
Lactobacillus helveticus;14;18;19;19
Limosilactobacillus panis;14;18;19;19
Limosilactobacillus frumenti;14;15;17;19
Lactobacillus amylolyticus;12;18;17;16
Limosilactobacillus pontis;13;15;15;17
Acetobacter oryzifermentans;12;10;16;17
Limosilactobacillus secaliphilus;10;10;17;13
Lactobacillus jensenii;13;8;17;12
Lactobacillus sp.;11;13;8;15
Lactobacillus delbrueckii;11;12;12;12
Limosilactobacillus timonensis;13;12;9;9
Lactiplantibacillus plantarum;9;11;10;10
Limosilactobacillus fermentum;9;10;10;10
Lactobacillus amylovorus;8;9;10;11
Lentilactobacillus parabuchneri;9;7;9;10
Limosilactobacillus reuteri;11;7;9;7
Limosilactobacillus coleohominis;12;4;7;11
Weissella kandleri;9;7;5;9
Lactococcus lactis;9;11;7;2
Leuconostoc citreum;9;11;3;5
Escherichia coli;5;4;8;7
Lacticaseibacillus paracasei;6;1;7;10
Furfurilactobacillus rossiae;9;0;7;7
Leuconostoc garlicum;9;11;0;0
Lactobacillus hominis;4;3;4;8
Kosakonia cowanii;1;10;4;3
Companilactobacillus paralimentarius;0;10;0;8
Acetobacter okinawensis;4;4;9;0
Pantoea agglomerans;3;8;2;4
Pantoea vagans;2;9;2;4
Pseudomonas sp.;5;5;2;1
Lactobacillus gallinarum;10;3;0;0
Schleiferilactobacillus harbinensis;8;3;0;2
Companilactobacillus allii;4;8;0;0
Lactobacillus crispatus;5;4;2;1
Candidatus Pelagibacter;1;4;4;2
Lactobacillus kefiranofaciens;2;4;4;0
Paenarthrobacter nicotinovorans;3;4;2;0
Acetobacter orientalis;2;2;4;0
Acetobacter syzygii;3;1;3;0
Lentilactobacillus hilgardii;0;4;1;2
Pectobacterium carotovorum;1;0;1;4
Weissella cibaria;4;0;0;2
Ralstonia pickettii;0;1;1;3
Pseudomonas rhizosphaerae;1;3;1;0
Companilactobacillus kimchiensis;3;2;0;0
Cronobacter sakazakii;1;0;1;2
Vibrio parahaemolyticus;4;0;0;0
Cronobacter dublinensis;3;0;0;1
Limosilactobacillus vaginalis;0;0;0;3
Lactococcus raffinolactis;2;0;0;1
Bacillus subtilis;0;0;1;2
Companilactobacillus metriopterae;2;0;0;0
Pseudomonas fragi;2;0;0;0
Lactobacillus psittaci;1;0;0;1
Virgibacillus profundi;0;0;0;2
Lacticaseibacillus rhamnosus;0;0;0;2
Lentilactobacillus parafarraginis;0;0;0;2
Weissella hellenica;0;0;0;2
Sclerotinia sclerotiorum;15;19;20;20
Cladophialophora carrionii;15;19;20;20
Fusarium fujikuroi;15;19;20;20
Fusarium graminearum;15;19;20;20
Aspergillus carbonarius;15;19;20;20
Botrytis cinerea;15;19;20;20
Cryptococcus neoformans;15;19;19;20
Naganishia albida;14;19;19;20
Fusarium verticillioides;15;19;18;20
Saccharomyces cerevisiae;15;18;20;19
Trichoderma reesei;14;19;19;20
Candida tropicalis;15;19;19;19
Talaromyces marneffei;10;13;19;20
Fusarium oxysporum;9;9;15;18
Puccinia triticina;8;13;13;15
Pneumocystis jirovecii;9;8;15;13
Candida albicans;7;8;13;8
Candida parapsilosis;4;9;12;10
Sordaria macrospora;5;9;10;8
Tremella mesenterica;7;7;8;9
Aspergillus campestris;4;8;10;8
Aspergillus fumigatus;0;4;1;8
Clavispora lusitaniae;6;1;5;1
Aspergillus ochraceoroseus;3;2;4;2
Paracoccidioides lutzii;0;2;4;2
Candida glabrata;6;0;1;1
Malassezia globosa;3;1;1;1
Mucor circinelloides;0;1;1;3
Histoplasma capsulatum;0;0;1;3
Lomentospora prolificans;1;0;3;0
Neurospora crassa;1;1;0;1
Sporothrix schenckii;0;1;1;1
Neurospora discreta;0;2;1;0
Coccidioides posadasii;0;0;1;1
Zymoseptoria tritici;1;0;1;0
Aspergillus novofumigatus;0;1;1;0
