Site ID Recoded,Treatment,Tree ID,Tree Type Recoded,Tree Section,Sample Section (m>ground),DBH (cm),Diameter at base 0 m (cm),Diameter at 1 m above ground (cm),Diameter at 2 m above ground (cm),Parasitoid Species Recoded,EAB Count (L3-Adult),Sampling Date
CT3,RLS,1,Large-2m,Bole,1,27.4,41.2,29.2,26.4,NONE,23,10/21-10/24/2020
CT3,RLS,1,Large-2m,Bole,1,27.4,41.2,29.2,26.4,SPAT,6,10/21-10/24/2020
CT3,RLS,1,Large-2m,Bole,2,27.4,41.2,29.2,26.4,NONE,13,10/21-10/24/2020
CT3,RLS,1,Large-2m,Bole,2,27.4,41.2,29.2,26.4,SPAT,8,10/21-10/24/2020
CT3,RLS,1,Pole Size,Bole,1,10.3,9.2,13.3,15.2,NONE,9,10/21-10/24/2020
CT3,RLS,1,Pole Size,Bole,1,10.3,9.2,13.3,15.2,Phas,1,10/21-10/24/2020
CT3,RLS,1,Pole Size,Bole,2,10.3,9.2,13.3,15.2,NONE,5,10/21-10/24/2020
CT3,RLS,1,Pole Size,Bole,2,10.3,9.2,13.3,15.2,Phas,1,10/21-10/24/2020
CT3,RLS,1,Pole Size,Bole,3,,,,,NONE,,10/21-10/24/2020
CT3,RLS,1,Pole Size,Bole,3,,,,,Phas,,10/21-10/24/2020
CT3,RLS,1,Pole Size,Bole,4,,,,,NONE,,10/21-10/24/2020
CT3,RLS,1,Pole Size,Bole,4,,,,,Phas,,10/21-10/24/2020
CT3,RLS,1,Pole Size,Bole,5,,,,,NONE,,10/21-10/24/2020
CT3,RLS,1,Pole Size,Bole,6,,,,,NONE,,10/21-10/24/2020
CT3,RLS,1,Pole Size,Bole,6,,,,,Phas,,10/21-10/24/2020
CT3,RLS,1,Pole Size,Bole,7,,,,,NONE,,10/21-10/24/2020
CT3,RLS,1,Sapling,Bole,1,4.8,8.9,5.4,3.5,NONE,3,10/21-10/24/2020
CT3,RLS,1,Sapling,Bole,2,,,,,NONE,,10/21-10/24/2020
CT3,RLS,1,Sapling,Bole,2,4.8,8.9,5.4,3.5,TET,1,10/21-10/24/2020
