RS,MS
27,27
27,27
27,27
27,27
27,27
27,27
27,27
27,27
27,27
26,27
25,27
15,27
27,25
7,7
27,0
26,27
26,27
27,25
27,27
5,27
6,8
27,27
27,27
22,27
21,13
0,13
2,11
0,0
0,24
27,21
27,0
6,0
25,27
0,27
9,25
0,24
6,0
6,0
10,27
24,6
23,11
0,11
0,4
26,0
0,0
16,27
26,16
23,26
1,4
1,1
24,0
6,0
3,24
23,6
18,0
0,0
0,8
1,6
16,4
0,1
0,2
0,0
1,27
0,15
8,8
0,6
0,4
0,3
0,1
11,0
4,0
0,0
0,0
0,12
9,3
0,3
0,3
0,2
0,2
0,1
6,0
0,19
6,18
0,10
0,8
0,7
0,6
0,4
0,4
1,3
0,3
0,2
0,2
1,1
3,0
2,0
2,0
2,0
2,0
