Status,Category,Vendor Record Type,Vendor,Associated Prime Vendor,M/WBE Category,Woman Owned Business,Emerging Business,Agency,Expense Category,Contract ID,Parent Contract ID,Version Number,Contract type,Purpose,Industry, Current Amount , Original Amount ,Start date,End Date,Registration date,Received date,Award Method,APT PIN,PIN
Registered,Expense,Prime Vendor,PINA M INC,N/A,Women (Non-Minority),Yes,No ,Police Department,EQUIPMENT GENERAL,CT105620231408551,,1,SUPPLIES/MATERIALS/EQUIPMENT,LACTATION PODS  QMS 1529,Goods," $55,590.00 "," $55,590.00 ",11/9/2022,6/30/2024,12/13/2022,,SM PURCH GOODS SERVICES 100K,,233660122
Registered,Expense,Prime Vendor,LIRO ENGINEERS INC,N/A,Non-M/WBE,No ,No ,Police Department,PROF SERV ENGINEER & ARCHITECT,CT105620238805005,,1,REQUIREMENTS-SERVICES,Environmental Engineering & Laboratory Services - Renewal #1,Professional Services," $1,225,000.00 "," $1,225,000.00 ",11/3/2022,11/2/2025,12/9/2022,,RENEWAL OF CONTRACT,,05620P8148KXLR001
Registered,Expense,Prime Vendor,AMCHAR WHOLESALE  INC,N/A,Non-M/WBE,No ,No ,Police Department,SUPPLIES + MATERIALS - GENERAL,CT105620231408596,,1,SUPPLIES/MATERIALS/EQUIPMENT,SIMUNITION AMMO  QMS 1349,Goods," $79,970.40 "," $79,970.40 ",12/1/2022,6/30/2023,12/9/2022,,SM PURCH GOODS SERVICES 100K,,233700031
Registered,Expense,Prime Vendor,ADVANTAGE TRAVEL INC,N/A,Non-M/WBE,No ,No ,Police Department,OVERNIGHT TRVL EXP-GENERAL,CT105620231407951,,1,REQUIREMENTS-SERVICES,TRAVEL AGENT SERVICE  QMS 1248,Goods," $80,000.00 "," $80,000.00 ",1/1/2023,12/31/2025,12/9/2022,,SM PURCH GOODS SERVICES 100K,,233580015
Registered,Expense,Prime Vendor,US CHILLER SERVICE NY LLC,N/A,Non-M/WBE,No ,No ,Police Department,MAINT & OPER OF INFRASTRUCTURE,CT105620238804507,,1,WORK/LABOR,Renewal,Standardized Services," $145,731.00 "," $145,731.00 ",12/8/2022,12/7/2023,12/8/2022,,RENEWAL OF CONTRACT,,05618B8229KXLR001
Registered,Expense,Prime Vendor,AVCO ENTERPRISES DENTSERVE,N/A,Asian American,Yes,No ,Police Department,EQUIPMENT GENERAL,CT105620231408327,,1,SUPPLIES/MATERIALS/EQUIPMENT,COMPRESSION BANDAGES FOR NYPD-POLICE ACADEMY_MERCI UNIT,Goods," $40,329.54 "," $40,329.54 ",12/2/2022,6/30/2023,12/8/2022,,SM PURCH GOODS SERVICES 100K,,233840073
Registered,Expense,Prime Vendor,Walton Isaacson LLC,N/A,Non-M/WBE,No ,No ,Police Department,ADVERTISING,CT105620238804876,,1,REQUIREMENTS-SERVICES,NYPD Recruitment Advertising Media Strategy Services,Professional Services," $5,000,000.00 "," $5,000,000.00 ",11/1/2022,10/31/2024,12/8/2022,,RENEWAL OF CONTRACT,,05618P8214KXLR001
Registered,Expense,Prime Vendor,LUCCAH CONSULTING LLC,N/A,Women (Non-Minority),Yes,No ,Police Department,EQUIPMENT GENERAL,CT105620231409841,,1,SUPPLIES/MATERIALS/EQUIPMENT,RUFF LAND PERFORMANCE DOG KENNELS,Goods," $13,610.00 "," $13,610.00 ",12/5/2022,6/30/2023,12/6/2022,,SMALL PURCHASE - WRITTEN,,237080033
Registered,Expense,Prime Vendor,CEN-MED ENTERPRISES INC,N/A,Asian American,Yes,No ,Police Department,CONTRACTUAL SERVICES GENERAL,CT105620231409331,,1,SUPPLIES/MATERIALS/EQUIPMENT,AGILENT INSTRUMENTS REPAIR AND EXCHANGE  QMS 1580,Goods," $18,001.00 "," $18,001.00 ",11/28/2022,6/30/2023,12/6/2022,,SMALL PURCHASE - WRITTEN,,235640044
Registered,Expense,Prime Vendor,QUEST DIAGNOSTICS CLINICAL LABORATORIES INC,N/A,Non-M/WBE,No ,No ,Police Department,PROF SERV OTHER,CT105620238803251,,1,WORK/LABOR,Drug Screening/Urine Analysis & Expert Witness Services,Not Classified," $440,000.00 "," $440,000.00 ",3/4/2020,7/15/2022,12/2/2022,,RENEWAL OF CONTRACT,,05616B8252KXLR001
